35017
あなたは佐知子さんとアキ子さんとではどちらが好きですか。|Qui aimes-tu le plus ? Sachiko ou Akiko ?
その部屋は私と兄の二人で使っている。|Mon frère et moi partagions la même chambre.
地上で空費される時間が飛行機の速さという有利な店を帳消しにしてしまう。|Les heures perdues sur terre annulent l'avantage de la vitesse dans l'air.
彼女の婚約者は、彼女にとても大きな指輪を贈った。|Son fiancé lui offrit une très grosse bague.
高血圧です。|J'ai de l'hypertension.
この食べ物は塩っぱ過ぎる。|Cette nourriture est trop salée.
彼女はいなくて一人ぼっちだった。|J'étais seul sans elle.
彼女はさようならと言った。|Elle a dit "au revoir".
彼は４時頃に来た。|Il est venu vers quatre heures.
私は仕事を終えようと努力した。|Je fis un effort pour terminer mon travail.
英語はたいていの国で教えられています。|L'anglais est enseigné dans beaucoup de pays.
急行の料金は幾らですか。|Combien pour l'express ?
もう一つケーキを食べてもいいですか。|Puis-je avoir une autre part de gâteau ?
やっと二人になれたね。|On est enfin toutes les deux.
彼と私はいとこ同士です。|Lui et moi sommes cousins.
野球をしましょう。|Jouons au baseball.
子供のころよく父と釣りに行きました。|J'allais régulièrement pêcher avec mon père lorsque j'étais enfant.
彼はその兵士をねらって矢を放った。|Il tira une flèche sur le soldat.
よくもまあ、あんなものが食べられるね。|Je ne comprends pas comment tu peux manger ce truc.
トラックが犬をはねた。|Un camion a percuté le chien.
速く走りなさい、さもないと学校に遅れますよ。|Courez vite, ou vous serez en retard à l'école.
この制度は十中八九うまくいくだろう。|Ce système fonctionnera bien dans neuf cas sur dix.
我々はそこから推測できることがわかり始めた。|Nous commencions à voir ce que nous pouvions en déduire.
彼は秘密を漏らしたことがない。単に誰も彼に打ち明けないというのがその理由だ。|Il n'a jamais trahi de secret, simplement parce que personne ne lui en a confié.
京都の出身ですか。|Es-tu de Kyoto ?
必要以上の水がある。|Il y a beaucoup plus d'eau que nécessaire.
郵便屋さんは毎朝手紙を配達する。|Le facteur distribue le courrier tous les matins.
いつ何時戦争が起こるかもしれない。|Une guerre peut éclater à tout moment.
彼らは祖国のために戦った。|Ils ont combattu pour leur patrie.
もう一カ月以上アフリカでは雨が降っていない。|Il n'a pas plu en Afrique pendant plus d'un mois.
もし助言がなかったとしたらあなたは失敗していただろう。|Sans mon conseil, tu aurais échoué.
彼女は大金を銀行に預けた。|Elle déposa une grosse somme d'argent à la banque.
私はあの学校の生徒を何人か知ってます。|Je connais quelques étudiants de cette école.
彼は首を横に振った。|Il a secoué la tête.
それは無料です。|C'est gratuit.
まだトムと付き合ってる。|Je sors toujours avec Tom.
昨晩１２時に寝ました。|Je me suis couché à minuit la nuit dernière.
どのように両替いたしましょうか。|Comment les veux-tu ?
体重を減らすためならチョコレートをすぐやめられるよ。|Je peux facilement arrêter le chocolat pour perdre du poids.
朝と夜の一日二回、食後にこの薬を忘れずに飲んでくださいね。|S'il te plait, n'oublie pas de prendre ce médicament deux fois par jour, matin et soir.
彼は自分の目が信じられなかった。|Il ne pouvait pas croire ses yeux.
トムはもうお昼食べたの？|Tom, tu as déjà mangé ?
彼はできるだけ速く走った。|Il courut aussi vite qu'il le put.
映画は2時に始まった。|Le film a commencé à 2 heures.
彼は両親の知らない内に家出をした。|Il s'enfuit de la maison à l'insu de ses parents.
シュークリーム買ってきたけど食べる？|J’ai acheté des profiteroles, t’en veux ?
そこに住んでいる人々は私たちの友人です。|Les gens qui vivent ici sont nos amis.
彼は蜂がお互いに意思伝達をする事が出来ると言う証拠を見つけた。|Il a découvert une preuve que les abeilles peuvent se communiquer l'un à l'autre.
彼女は見かけよりもずっと賢い。|Elle est plus intelligente qu'elle n'en a l'air.
この品物は品質がよい。|Cet article est de bonne qualité.
着替えてください。|Habillez-vous s'il vous plaît.
金は鉄より重い。|L'or est plus lourd que le fer.
愛犬に手を噛まれた。|Je me suis fait mordre la main par le chien que j'aime tant.
５時までには彼は帰ってくるでしょう。|Il sera revenu avant 5 heures.
日本は戦後繁栄を享受している。|Le Japon a prospéré après la guerre.
彼の視力は衰えつつある。|Sa vue baisse.
人を外見で判断してはいけない。|Ne juge pas quelqu'un sur son apparence.
彼女はボブにスキーを教えてくれるように頼んだ。|Elle demanda à Bob de lui apprendre à skier.
彼はカルカッタに支店を作ることを断念した。|Il désespérait de pouvoir ouvrir son bureau à Calcutta.
一体彼の話は本当だろうか。|Son histoire peut-elle être vraie ?
バスに乗りなさい。|Prends le bus.
風がおだやかになった。|Le vent s'est calmé.
私達は座らなければいけない。|Nous devons nous asseoir.
なんでそれ早く言ってくれなかったの？|Pourquoi tu m’as pas dit ça plus tôt ?
彼は彼らと家具の売買契約をした。|Il a fait une affaire avec eux pour les meubles.
私はパスポートを更新しないといけない。|Je dois faire renouveler mon passeport.
急いでやってミスするよりは、じっくり時間かけた方がいいよ。|Il vaut mieux prendre ton temps plutôt que te dépêcher et te tromper.
彼女がそこからが出てきた。|Elle est venue de là.
鉄道の線路を歩くのは危険だ。|Il est dangereux de marcher le long des chemins de fer.
友人ほど貴重な宝はほとんどない。|Rares sont les trésors plus précieux qu'un ami.
私の友人の中で才能があるのは彼だけだ。|C'est le seul de mes amis qui a du talent.
私はしなければならない仕事がたくさんあります。|J'ai beaucoup de travail à faire.
鳥は時々、飛行機の障害となって事故の原因となることがある。|Les oiseaux causent parfois des accidents en se mettant sur le trajet des avions.
長髪は今や流行遅れだ。|Les cheveux longs sont démodés.
さて、何しようか？|Alors, qu'est-ce qu'on fait?
彼はいつも一生懸命働く。|Il travaille toujours dur.
私は、飛行機でアメリカへ行くつもりだ。|Je vais en Amérique en avion.
私は１９７２年１０月１０日に生まれました。|Je suis née le 10 octobre 1972.
そんなことでイライラすんなよ。|Ne te mets pas en rogne pour ça.
ダムが決壊し大量の水が下流域に放出された。|Le barrage céda et lâcha une grande masse d'eau en aval de la vallée.
道は急斜面をジグザグにのぼっていた。|Le chemin zigzaguait le long de la pente raide.
何事も中途半端にするな。|Ne fais rien à moitié.
林檎の形は丸い。|Une pomme est de forme ronde.
私はピアノが弾けます。|Je sais jouer du piano.
夕べ彼の家は泥棒に入られた。|Sa maison a été cambriolée la nuit dernière.
彼に食物をあてがった。|Je lui ai fourni de la nourriture.
その木は広く枝を四方に張り出している。|L'arbre étend ses branches dans toutes les directions.
